locat176 comcat.ComcatLocalCatalog test3 opensha-oaf/deployment/scripts/utsh/locat/cat_2015_m4.txt us20003k7a 30.000 90.0 400.0 3.5
Loading catalog: [opensha-oaf/deployment/scripts/utsh/locat/cat_2015_m4.txt]
Fetching event: us20003k7a
ObsEqkRupture:
rup_event_id = us20003k7a
rup_time = 1442444072860 (2015-09-16 22:54:32 UTC)
rup_mag = 8.3
rup_lat = -31.5729
rup_lon = -71.6744
rup_depth = 22.44
description = 48km W of Illapel, Chile
ids = ,us20003k7a,gcmt20150916225432,gcmt20150916225433,at00nuskyv,pt15259054,atlas20150916225432,
net = us
code = 20003k7a

Fetching event list
min_days = 30.0
max_days = 90.0
radius_km = 400.0
min_mag = 3.5
Events returned by fetchEventList = 209
List of events returned by fetchEventList:
87: us10003yyb (time = 2015-11-13 03:27:04 UTC, mag = 4.400, lat = -30.08340, lon = -72.00090, depth = 13.130)
88: us10003yqn (time = 2015-11-12 14:45:30 UTC, mag = 4.300, lat = -30.11030, lon = -72.18050, depth = 10.000)
89: us10003xqq (time = 2015-11-12 06:53:50 UTC, mag = 4.400, lat = -29.54780, lon = -72.10650, depth = 10.000)
90: us10003xqg (time = 2015-11-12 05:54:12 UTC, mag = 4.400, lat = -32.68590, lon = -71.82330, depth = 18.800)
91: us10003yqs (time = 2015-11-12 03:31:43 UTC, mag = 4.100, lat = -30.53650, lon = -72.04370, depth = 10.000)
92: us10003xmc (time = 2015-11-11 21:11:42 UTC, mag = 4.200, lat = -31.00260, lon = -71.84680, depth = 19.760)
93: us10003xfv (time = 2015-11-11 18:33:42 UTC, mag = 4.600, lat = -29.87260, lon = -72.02110, depth = 7.090)
94: us10003y5b (time = 2015-11-11 17:33:49 UTC, mag = 4.300, lat = -29.63470, lon = -72.13220, depth = 10.000)
95: us10003xf5 (time = 2015-11-11 16:27:24 UTC, mag = 4.300, lat = -29.47260, lon = -69.57140, depth = 92.460)
96: us10003xes (time = 2015-11-11 15:43:14 UTC, mag = 4.300, lat = -29.86370, lon = -72.28160, depth = 10.000)
97: us10003xc3 (time = 2015-11-11 09:14:14 UTC, mag = 4.500, lat = -29.42130, lon = -71.94340, depth = 13.620)
98: us10003xc2 (time = 2015-11-11 09:07:45 UTC, mag = 4.600, lat = -29.64980, lon = -72.09460, depth = 10.000)
99: us10003xbp (time = 2015-11-11 07:59:32 UTC, mag = 4.200, lat = -31.77100, lon = -71.52200, depth = 35.300)
100: us10003xbh (time = 2015-11-11 07:42:21 UTC, mag = 4.500, lat = -29.47560, lon = -72.04610, depth = 12.070)
101: us10003xak (time = 2015-11-11 07:08:56 UTC, mag = 4.600, lat = -29.48480, lon = -72.10070, depth = 13.000)
102: us10003xai (time = 2015-11-11 06:35:14 UTC, mag = 4.500, lat = -29.66240, lon = -72.14800, depth = 10.000)
103: us10003y41 (time = 2015-11-11 04:46:30 UTC, mag = 4.200, lat = -29.71460, lon = -72.05190, depth = 15.200)
104: us10003xa3 (time = 2015-11-11 03:40:24 UTC, mag = 4.500, lat = -29.44920, lon = -72.04600, depth = 10.000)
105: us10003y3v (time = 2015-11-11 03:25:40 UTC, mag = 4.300, lat = -29.69760, lon = -72.03170, depth = 19.960)
106: us10003y46 (time = 2015-11-11 03:13:13 UTC, mag = 4.800, lat = -29.66660, lon = -71.97280, depth = 13.320)
107: us10003x9t (time = 2015-11-11 03:07:49 UTC, mag = 5.100, lat = -29.52590, lon = -72.10180, depth = 10.000)
108: us10003x9g (time = 2015-11-11 02:46:19 UTC, mag = 6.900, lat = -29.50970, lon = -72.05850, depth = 10.000)
109: us10003y43 (time = 2015-11-11 02:29:59 UTC, mag = 4.500, lat = -29.49280, lon = -72.07670, depth = 10.000)
110: us10003y54 (time = 2015-11-11 02:26:30 UTC, mag = 4.600, lat = -29.48240, lon = -72.11490, depth = 11.620)
